Date,Open,High,Low,Close,Adj Close,Volume
2022-07-15,526.059998,531.989990,515.450012,529.750000,528.092957,5742500
2022-07-18,531.000000,532.159973,518.750000,519.369995,517.745422,3212000
2022-07-19,521.090027,533.840027,520.590027,533.450012,531.781433,2953500
2022-07-20,533.450012,534.049988,515.729980,519.469971,517.845093,4327500
2022-07-21,519.390015,522.469971,511.140015,522.460022,520.825806,2667600
2022-07-22,526.000000,527.599976,518.400024,521.409973,519.779053,1850300
2022-07-25,526.090027,532.890015,524.219971,529.469971,527.813843,2337200
2022-07-26,533.799988,537.640015,531.030029,531.590027,529.927246,2637800
2022-07-27,533.539978,537.859985,528.039978,534.609985,532.937744,2268100
2022-07-28,537.489990,544.340027,531.739990,541.489990,539.796265,2344500
2022-07-29,540.010010,543.849976,536.690002,542.340027,540.643616,2945700
2022-08-01,542.270020,543.650024,531.000000,535.380005,533.705383,2335000
2022-08-02,537.549988,540.530029,531.719971,535.460022,533.785156,2114200
2022-08-03,537.260010,543.619995,535.690002,540.650024,538.958923,1802900
2022-08-04,539.289978,540.429993,532.760010,533.750000,532.080444,2368000
2022-08-05,530.000000,535.500000,527.559998,535.059998,533.386353,2373400
2022-08-08,539.909973,541.299988,533.419983,536.599976,534.921509,1656400
2022-08-09,540.000000,545.739990,536.380005,537.260010,535.579468,2147200
2022-08-10,540.260010,541.979980,533.809998,537.719971,536.038025,2291400
2022-08-11,538.239990,538.630005,529.669983,532.859985,531.193237,3006200
2022-08-12,535.609985,544.400024,534.450012,543.700012,541.999329,1981000
2022-08-15,541.669983,547.210022,538.559998,544.640015,542.936401,1447300
2022-08-16,545.210022,547.440002,542.390015,546.119995,544.411743,1773000
2022-08-17,545.239990,547.789978,541.570007,545.000000,543.295288,1471700
2022-08-18,545.010010,548.130005,541.820007,545.219971,543.514587,1486400
2022-08-19,545.500000,553.130005,544.820007,548.320007,546.604919,2258000
2022-08-22,541.390015,549.520020,541.349976,544.570007,542.866638,1672900
2022-08-23,543.289978,543.289978,533.210022,535.799988,534.124023,2039600
2022-08-24,536.679993,539.859985,535.020020,536.460022,534.781982,1761200
2022-08-25,535.010010,542.020020,531.250000,541.570007,539.876038,1965800
2022-08-26,542.260010,543.190002,528.219971,529.250000,527.594543,1906700
2022-08-29,526.000000,532.900024,522.869995,529.770020,528.112915,1594000
2022-08-30,530.409973,531.090027,521.789978,522.840027,521.204590,2013400
2022-08-31,520.820007,527.099976,519.159973,519.330017,517.705566,2891300
2022-09-01,519.330017,524.260010,515.090027,524.000000,522.360962,2085300
2022-09-02,529.619995,529.789978,513.809998,516.349976,514.734863,1944200
2022-09-06,519.929993,527.450012,516.919983,517.679993,516.060730,2711900
2022-09-07,517.000000,523.500000,514.679993,521.679993,520.048218,2504400
2022-09-08,520.950012,528.489990,518.809998,527.510010,525.859985,1557500
2022-09-09,527.830017,527.830017,522.580017,524.340027,524.340027,2495500
2022-09-12,525.000000,535.020020,522.500000,531.250000,531.250000,2792000
2022-09-13,524.000000,525.260010,511.970001,513.960022,513.960022,3172500
2022-09-14,514.000000,515.380005,506.100006,509.769989,509.769989,2648100
2022-09-15,516.299988,527.979980,514.140015,522.909973,522.909973,3058100
2022-09-16,518.520020,522.820007,517.080017,521.020020,521.020020,3981700
2022-09-19,518.590027,524.000000,512.969971,523.549988,523.549988,2130800
2022-09-20,524.239990,524.669983,514.809998,522.799988,522.799988,2421700
2022-09-21,525.030029,528.010010,512.020020,512.080017,512.080017,2427700
2022-09-22,511.029999,520.969971,506.109985,517.460022,517.460022,2285600
2022-09-23,513.559998,514.659973,506.380005,513.609985,513.609985,2536900
2022-09-26,507.390015,512.570007,499.000000,508.359985,508.359985,2867400
2022-09-27,510.369995,516.789978,503.579987,508.369995,508.369995,2583400
2022-09-28,506.480011,516.270020,500.799988,513.940002,513.940002,3027300
2022-09-29,514.770020,514.770020,502.470001,508.829987,508.829987,2392000
2022-09-30,511.100006,516.549988,504.839996,505.040009,505.040009,3116000
2022-10-03,507.079987,517.809998,505.399994,515.510010,515.510010,2562400
2022-10-04,518.349976,524.590027,516.830017,523.169983,523.169983,3189800
2022-10-05,521.000000,529.349976,520.130005,527.070007,527.070007,2281800
2022-10-06,528.330017,528.580017,516.739990,519.130005,519.130005,2187300
2022-10-07,514.169983,514.169983,501.059998,504.850006,504.850006,3273700
2022-10-10,505.600006,506.309998,495.019989,498.859985,498.859985,2459100
2022-10-11,496.970001,506.829987,495.179993,499.809998,499.809998,2844500
2022-10-12,502.130005,508.250000,498.209991,499.959991,499.959991,2254300
2022-10-13,493.450012,513.469971,487.739990,509.910004,509.910004,3999700
2022-10-14,520.000000,529.909973,511.929993,513.130005,513.130005,5628900
2022-10-17,517.739990,524.309998,515.280029,521.880005,521.880005,3282300
2022-10-18,532.000000,532.000000,518.330017,522.210022,522.210022,2345500
2022-10-19,521.739990,523.820007,514.599976,520.320007,520.320007,2500500
2022-10-20,523.049988,529.419983,519.780029,520.880005,520.880005,2390800
2022-10-21,518.059998,536.530029,518.010010,533.729980,533.729980,2896000
2022-10-24,538.070007,546.479980,537.799988,541.599976,541.599976,2627100
2022-10-25,537.789978,543.919983,533.900024,540.219971,540.219971,2411900
2022-10-26,541.380005,547.640015,540.210022,543.169983,543.169983,2863500
2022-10-27,546.520020,546.520020,539.760010,541.799988,541.799988,2212100
2022-10-28,544.969971,553.000000,543.690002,551.239990,551.239990,2761900
2022-10-31,555.000000,558.099976,550.130005,555.150024,555.150024,2770400
2022-11-01,555.000000,555.690002,544.219971,547.309998,547.309998,3338900
2022-11-02,544.409973,554.580017,543.070007,543.429993,543.429993,2696200
2022-11-03,541.739990,547.869995,538.130005,543.609985,543.609985,2245300
2022-11-04,547.049988,547.760010,527.140015,538.169983,538.169983,3512600
2022-11-07,538.169983,546.950012,535.469971,545.020020,545.020020,2540300
2022-11-08,547.049988,554.799988,542.000000,553.049988,553.049988,2797000
2022-11-09,553.780029,554.609985,539.440002,540.659973,540.659973,2672600
2022-11-10,548.929993,551.700012,533.950012,544.169983,544.169983,3426400
2022-11-11,546.280029,546.280029,509.649994,522.080017,522.080017,7032900
2022-11-14,522.000000,528.979980,513.409973,513.750000,513.750000,5238400
2022-11-15,512.809998,516.640015,500.769989,503.010010,503.010010,5103800
2022-11-16,505.890015,514.130005,505.470001,511.519989,511.519989,3430800
2022-11-17,512.159973,526.979980,512.159973,515.309998,515.309998,4246300
2022-11-18,522.119995,533.000000,519.460022,530.000000,530.000000,3566000
2022-11-21,529.010010,531.950012,515.380005,517.190002,517.190002,3349600
2022-11-22,519.940002,524.659973,519.909973,523.090027,523.090027,2567400
2022-11-23,525.000000,530.440002,523.000000,529.710022,529.710022,2238300
2022-11-25,534.000000,540.849976,532.520020,537.619995,537.619995,1419200
2022-11-28,535.830017,539.580017,531.690002,532.270020,532.270020,2699900
2022-11-29,531.669983,532.969971,523.650024,528.000000,528.000000,3751000
2022-11-30,529.719971,548.080017,527.479980,547.760010,547.760010,9688200
2022-12-01,552.359985,553.000000,537.369385,537.599976,537.599976,679680
