Date,Close/Last,Volume,Open,High,Low
12/11/2019,$67.21 ,20486160,$67.42 ,$67.49 ,$67.06 
12/10/2019,$67.14 ,17608600,$67.00 ,$67.40 ,$66.70 
12/9/2019,$67.15 ,31137780,$66.94 ,$67.88 ,$66.80 
12/6/2019,$66.97 ,32974580,$66.64 ,$67.12 ,$66.56 
12/5/2019,$66.35 ,24412620,$66.35 ,$66.40 ,$65.72 
12/4/2019,$65.95 ,35527840,$65.31 ,$66.21 ,$65.15 
12/3/2019,$64.74 ,29600520,$63.93 ,$64.86 ,$63.85 
12/2/2019,$64.44 ,26577780,$65.13 ,$65.27 ,$64.02 
11/29/2019,$65.20 ,12801380,$65.33 ,$65.50 ,$65.16 
11/27/2019,$65.61 ,18810720,$65.77 ,$65.88 ,$65.47 
11/26/2019,$65.65 ,21941780,$65.50 ,$65.70 ,$65.20 
11/25/2019,$65.28 ,23593160,$64.81 ,$65.52 ,$64.78 
11/22/2019,$64.68 ,27778240,$65.15 ,$65.35 ,$64.47 
11/21/2019,$65.01 ,25546760,$64.96 ,$65.56 ,$64.54 
11/20/2019,$65.09 ,28917400,$65.57 ,$65.66 ,$64.46 
11/19/2019,$65.63 ,21872580,$66.33 ,$66.33 ,$65.59 
11/18/2019,$65.99 ,27987480,$66.62 ,$66.70 ,$65.81 
11/15/2019,$66.68 ,39299100,$65.75 ,$66.68 ,$65.59 
11/14/2019,$65.46 ,29000780,$64.75 ,$65.79 ,$64.70 
11/13/2019,$64.81 ,18721700,$64.66 ,$65.13 ,$64.61 
11/12/2019,$64.86 ,28886840,$64.93 ,$65.47 ,$64.71 
11/11/2019,$64.91 ,17237200,$65.20 ,$65.25 ,$64.79 
11/8/2019,$65.45 ,30437840,$65.08 ,$65.86 ,$65.08 
11/7/2019,$65.35 ,45140100,$64.71 ,$66.13 ,$64.69 
11/6/2019,$64.55 ,24625300,$64.50 ,$64.65 ,$64.11 
11/5/2019,$64.57 ,25148540,$64.56 ,$64.86 ,$64.47 
11/4/2019,$64.48 ,30632440,$63.81 ,$64.63 ,$63.81 
11/1/2019,$63.61 ,28812140,$63.29 ,$63.65 ,$62.99 
10/31/2019,$62.94 ,31903080,$63 ,$63.33 ,$62.47 
10/30/2019,$63.04 ,29203860,$62.76 ,$63.40 ,$62.53 
10/29/2019,$63.03 ,52654300,$63.80 ,$64.04 ,$62.78 
10/28/2019,$64.45 ,65428220,$63.75 ,$64.96 ,$63.62 
10/25/2019,$63.22 ,27104960,$62.60 ,$63.40 ,$62.46 
10/24/2019,$62.96 ,22809560,$62.96 ,$63.15 ,$62.62 
10/23/2019,$62.88 ,23525620,$62.01 ,$62.90 ,$62.01 
10/22/2019,$62.06 ,25636420,$62.22 ,$62.44 ,$61.99 
10/21/2019,$62.21 ,20601700,$62.44 ,$62.68 ,$62.00 
10/18/2019,$62.22 ,31646400,$62.73 ,$62.91 ,$62.01 
10/17/2019,$62.64 ,21279620,$62.57 ,$63.19 ,$62.49 
10/16/2019,$62.15 ,23020560,$62.09 ,$62.71 ,$61.93 
10/15/2019,$62.11 ,30544320,$61.08 ,$62.36 ,$61.05 
10/14/2019,$60.89 ,13678520,$60.69 ,$61.29 ,$60.59 
10/11/2019,$60.79 ,22529040,$61.20 ,$61.44 ,$60.68 
10/10/2019,$60.47 ,13364880,$59.93 ,$60.78 ,$59.89 
10/9/2019,$60.12 ,16264320,$60.07 ,$60.42 ,$59.91 
10/8/2019,$59.51 ,20648520,$59.94 ,$60.34 ,$59.47 
10/7/2019,$60.41 ,17580400,$60.35 ,$60.95 ,$60.22 
10/4/2019,$60.55 ,24573720,$59.71 ,$60.62 ,$59.55 
10/3/2019,$59.47 ,29388260,$59.17 ,$59.55 ,$58.16 
10/2/2019,$58.90 ,33495480,$59.83 ,$59.94 ,$58.63 
10/1/2019,$60.30 ,25654700,$61.12 ,$61.64 ,$60.28 
9/30/2019,$61.06 ,25892180,$61.03 ,$61.37 ,$60.67 
9/27/2019,$61.30 ,34449620,$62.14 ,$62.25 ,$60.76 
9/26/2019,$62.11 ,23431540,$62.11 ,$62.23 ,$61.59 
9/25/2019,$62.30 ,27103240,$60.80 ,$62.40 ,$60.46 
9/24/2019,$60.92 ,36714240,$62 ,$62.36 ,$60.53 
9/23/2019,$61.73 ,23941380,$61.33 ,$61.98 ,$61.19 
9/20/2019,$61.49 ,38754860,$61.68 ,$62.14 ,$61.18 
9/19/2019,$61.94 ,16940040,$61.62 ,$62.22 ,$61.62 
9/18/2019,$61.63 ,17855760,$61.51 ,$61.81 ,$60.82 
9/17/2019,$61.49 ,20944020,$61.58 ,$61.75 ,$61.17 
9/16/2019,$61.58 ,28217600,$61.52 ,$61.95 ,$61.26 
9/13/2019,$62.00 ,23675240,$61.61 ,$62.05 ,$61.35 
9/12/2019,$61.75 ,31644600,$61.17 ,$62.12 ,$61.13 
9/11/2019,$61 ,23521320,$60.19 ,$61.12 ,$60.11 
9/10/2019,$60.29 ,27921540,$59.80 ,$60.50 ,$59.80 
9/9/2019,$60.26 ,31859160,$60.35 ,$61.03 ,$59.66 
9/6/2019,$60.32 ,18971600,$60.46 ,$60.65 ,$60.16 
9/5/2019,$60.61 ,26413120,$59.68 ,$60.70 ,$59.63 
9/4/2019,$59.11 ,21313320,$58.97 ,$59.24 ,$58.58 
9/3/2019,$58.48 ,25922320,$59.09 ,$59.45 ,$58.19 
8/30/2019,$59.53 ,18067500,$60.02 ,$60.02 ,$59.29 
8/29/2019,$59.71 ,19641960,$59.32 ,$59.96 ,$59.26 
8/28/2019,$58.69 ,16816580,$58.24 ,$58.93 ,$58.01 
8/27/2019,$58.54 ,23469780,$59.15 ,$59.25 ,$58.23 
8/26/2019,$58.56 ,21178520,$57.97 ,$58.59 ,$57.74 
8/23/2019,$57.68 ,36262820,$59.26 ,$59.78 ,$57.50 
8/22/2019,$59.58 ,17358300,$59.69 ,$59.94 ,$58.95 
8/21/2019,$59.58 ,14165440,$59.79 ,$60.03 ,$59.40 
8/20/2019,$59.18 ,20211320,$59.77 ,$59.90 ,$59.15 
8/19/2019,$60.02 ,24457080,$59.59 ,$60.47 ,$59.52 
8/16/2019,$58.96 ,25303740,$59.04 ,$59.19 ,$58.65 
8/15/2019,$58.47 ,28614300,$58.42 ,$58.82 ,$58.15 
8/14/2019,$58.21 ,35430020,$58.80 ,$59.14 ,$58.05 
8/13/2019,$59.84 ,28604800,$58.72 ,$60.27 ,$58.65 
8/12/2019,$58.73 ,22064860,$59 ,$59.28 ,$58.44 
8/9/2019,$59.45 ,20418900,$60.00 ,$60.22 ,$59.24 
8/8/2019,$60.31 ,30116960,$59.32 ,$60.31 ,$58.70 
8/7/2019,$58.80 ,30686940,$57.89 ,$58.99 ,$57.54 
